,fname,doc,repository
79D9B4DB619F85EB,"	SIMD_FORCE_INLINE void internalApplyImpulse(const btVector3& linearComponent, const btVector3& angularComponent, const btScalar impulseMagnitude)
	","Optimization for the iterative solver: avoid calculating constant terms involving inertia, normal, relative position",bullet3
C74CEE60AF732A54,"	SIMD_FORCE_INLINE btVector3& operator*=(const btVector3& v)
	","@brief Elementwise multiply this vector by the other 
 @param v The other vector ",bullet3
4B732A7D4583F1B9,"	B3_FORCE_INLINE const b3Vector3& operator[](int i) const
	","@brief Get a const reference to a row of the matrix as a vector 
@param i Row number 0 indexed ",bullet3
CF0FB37FEFB6B1E9,"	SIMD_FORCE_INLINE btVector3& operator/=(const btScalar& s)
	","@brief Inversely scale the vector 
 @param s Scale factor to divide by ",bullet3
0C3929BA6041DA4C,"	virtual btBroadphasePair* addOverlappingPair(btBroadphaseProxy * proxy0, btBroadphaseProxy * proxy1)
	","Add a pair and return the new pair. If the pair already exists,
no new pair is created and the old one is returned.",bullet3
8F2E01C42FED29A6,"	B3_FORCE_INLINE void clear()
	","clear the array, deallocated memory. Generally it is better to use array.resize(0), to reduce performance overhead of run-time memory (de)allocations.",bullet3
66E0B8EAE18BD73F,"	btQuaternion& operator/=(const btScalar& s)
	","@brief Inversely scale this quaternion
 @param s The scale factor ",bullet3
79C981CD07A529F7,"	void setIdentity()
	",@brief Set the matrix to the identity ,bullet3
DC2BD5D0EA380700,"	btScalar dot(const btQuaternion& q) const
	","@brief Return the dot product between this quaternion and another
 @param q The other quaternion ",bullet3
D6632F6A4CB0E08B,"	void setRotation(const btQuaternion& q)
	","@brief Set the matrix from a quaternion
@param q The Quaternion to match ",bullet3
79D5D5A1A2CF7D89,"SIMD_FORCE_INLINE btQuaternion
operator*(const btQuaternion& q1, const btQuaternion& q2)
",@brief Return the product of two quaternions ,bullet3
8490AC97765F1D6C,"	btQuaternion getRotation() const
	",@brief Return a quaternion representing the rotation ,bullet3
644AC9DDE70BF687,"	btQuaternion& operator*=(const btQuaternion& q)
	","@brief Multiply this quaternion by q on the right
 @param q The other quaternion 
 Equivilant to this = this * q ",bullet3
6DB4903CDE3D2E8D,"SIMD_FORCE_INLINE btMatrix3x3
btMatrix3x3::inverse() const
",@brief Return the inverse of the matrix ,bullet3
4D92A5C8ECB7C8E0,"	SIMD_FORCE_INLINE btScalar safeNorm() const
	",@brief Return the norm (length) of the vector ,bullet3
8525E9B5122076A1,"SIMD_FORCE_INLINE btMatrix3x3
btMatrix3x3::absolute() const
",@brief Return the matrix with all values non negative ,bullet3
B5A502EC16994350,"	void setRotation(const btVector3& axis, const btScalar& _angle)
	","@brief Set the rotation using axis angle notation 
 @param axis The axis around which to rotate
 @param angle The magnitude of the rotation in Radians ",bullet3
2E7884C495DBA639,"	btTransform inverse() const
	",@brief Return the inverse of this transform ,bullet3
