,0,1,2,3,4,5,6,7,8,9,10
0,8DB27DCC9D8540B9,"redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
    return redisConnect(ip,port,NULL,tv);
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
    return redisConnect(ip,port,NULL,NULL,tv);
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) ","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) ","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) ","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) ","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{ 
    return redisConnect(ip,port,NULL,tv); 
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) ","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
	return redisConnect(ip, port, tv);
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) "
1,9E709D637B4875DE,"static int dictCheckRehashingCompleted(dict *d) 
{
    unsigned long buckets = dictSize(d->ht);
    if (buckets > DICT_HT_INITIAL_SIZE) {
        return 1;
    }
    dictIterator *di = dictGetIterator(d->ht);
    dictEntry *de;
    while ((de = dictNext(di))!= NULL) {
        void *value = dictGetVal(de);
        if (value!= NULL && dictSize(value) > buckets) {
            return 0;
        }
    }
    dictReleaseIterator(di);
    return 1;
}",static int dictCheckRehashingCompleted(dict *d) ,"static int dictCheckRehashingCompleted(dict *d) 
{
    if (dictSize(d) > server.active_defrag_max_scan_fields) {
        return 1;
    } else {
        return 0;
    }
}","static int dictCheckRehashingCompleted(dict *d) 
{
    /* If we are in the process of updating the size of the dictionary (that 
     * means the number of entries has changed), then return 1. Otherwise return 0.
     * Note that in case of the case of an empty set, we consider the update to be a NOP. */
    if (d->numele || (dictSize(d)!= DICT_HT_INITIAL_SIZE && dictSize(d) == 0)) return 1;
    else return 0;
}","static int dictCheckRehashingCompleted(dict *d) 
{
    /* Check if we need to start a new hash bucket. Hash buckets are recycled
     * when they are created, but never destroyed. So if there is no active
     * usage in any bucket, we can stop here. */
    if (dictSize(d) == 0) return 1;

    /* If we are here there is a chance the database is being used by
     * a process with a blocked client, in this case we don't want to
     * attempt a rehashing of the table. */
    if (server.busy_module_yield_flags & BUSY_MODULE_YIELD_FLAG_REPLY)
        return 1;

    /* If we are here there is a chance the database is being used by
     * a command implementation, in this case we can't attempt a rehashing
     * of the table. */
    if (server.in_exec)
        return 1;

    /* If we are here there is a chance the database is being used by
     * a Redis command implementation, in this case we can't attempt a
     * rehashing of the table. */
    if (server.in_exec_command)
        return 1;

    /* If we are here there is a chance the database is being used by
     * a benchmark, in this case we can't attempt a rehashing of the
     * table. */
    if (server.in_benchmark)
        return 1;

    /* If we are here there is a chance the database is being used by
     * a benchmark, in this case we can't attempt a rehashing of the
     * table. */
    if (server.in_call)
        return 1;

    /* If we are here there is a chance the database is being used by
     * a benchmark, in this case we can't attempt a rehashing of the
     * table. */
    return 0;
}","static int dictCheckRehashingCompleted(dict *d) 
{
    size_t max_list_items = server.hash_max_list_entries;
    size_t max_dict_entries = server.hash_max_dict_entries;
    size_t rehashed = 0;
    if (dictSize(d) > max_list_items) {
        return 0;
    } else if (dictSize(d) > max_dict_entries) {
        return 1;
    } else {
        return rehashed;
    }
}","static int dictCheckRehashingCompleted(dict *d) 
{
    serverAssert(dictSize(d) > DICT_HT_INITIAL_SIZE);
    if (dictSize(d) > DICT_HT_HASH_LIMIT) return 1;
    return 0;
}","static int dictCheckRehashingCompleted(dict *d) 
{
  /* check that we are not already in the process of being destroyed */
  if (dictGetIncr(d)!= DICT_OK) return 0;
  /* check that the table size hasn't reached the limit */
  if (dictSize(d) >= server.hash_max_listpack_entries) return 0;
  /* check that the table size hasn't reached the limit */
  if (dictSize(d) >= server.hash_max_listpack_value) return 0;
  return 1;
}","static int dictCheckRehashingCompleted(dict *d) 
{
    if (dictSize(d) > server.active_defrag_max_scan_fields) {
        serverLog(LL_NOTICE,""Starting rehashing of the dict: %ld fields"",dictSize(d));
        dictExpand(d, dictSize(d) + dictSize(server.active_defrag_hits)*2);
        return 1;
    } else {
        serverLog(LL_NOTICE,""Not rehashing of the dict: %ld fields"",dictSize(d));
        return 0;
    }
}","static int dictCheckRehashingCompleted(dict *d) 
{ 
    /* Check if we need to start a new hash bucket. Hash buckets are recycled when we resize, 
     * but if the number of buckets is low, we need to rehash. */
    if (dictSize(d) > server.hash_max_listpack_entries && /* Max listpack size is set to server.hash_max_listpack_entries */
        server.stat_active_defrag_hits - server.stat_active_defrag_misses >  /* Check if we have an active defragmentation */
        server.stat_active_defrag_scanned) /* Scanning the whole db is costly so we use a cache to avoid repeated rehashing */
    {
        return 1;
    } else {
        return 0;
    }
}"
2,B7AED9E236EBEC25,"size_t rioWriteBulkDouble(rio *r, double d) 
{
    char buf[MAX_LONG_DOUBLE_CHARS];
    size_t len = ld2string(buf,sizeof(buf),d,0);
    return rioWriteRaw(r,buf,len);
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
    char buf[LONG_STR_SIZE];
    size_t len = lpStringToInt64((const char*)buf,sizeof(buf),d);
    return rioWriteBulkCount(r,len);
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
	unsigned char buf[32];
	size_t len = lpStringOutput(buf,(unsigned char*)&d,1,0);
	return rioWriteRaw(r,buf,len);
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
    char buf[128];
    size_t len = ld2string(buf,sizeof(buf),d,0);
    return rioWriteRaw(r,buf,len);
}","size_t rioWriteBulkDouble(rio *r, double d) ","size_t rioWriteBulkDouble(rio *r, double d) 
{
    size_t len = ll2string(llstr,sizeof(llstr),d);
    return rioWriteRaw(r,llstr,len);
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
  int retval;
  char buf[LONG_STR_SIZE];
  size_t len = lpStringToInt64((const char*)buf,sizeof(buf),d);
  return rioWriteBulkCount(r,len);
}","size_t rioWriteBulkDouble(rio *r, double d) ","size_t rioWriteBulkDouble(rio *r, double d) 
{ 
    char buf[LONG_STR_SIZE];
    size_t len = lpStringToInt64((const char*)buf,sizeof(buf),d);
    return rioWriteBulkString(r,buf,len);
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
	unsigned char buf[128];
	size_t len = ll2string(buf,sizeof(buf),d);
	return rioWriteRaw(r,buf,len);
}"
3,917B2B41B044128F,"sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) 
{    
    /* Fill in the reply for the INFO command. */
    struct hdr_iter iter;
    sds reply = sdsempty();
    hdr_iter_percentile_init(&iter,histogram,100);
    while (hdr_iter_next(&iter)) {
        struct hdr_value *hdr = iter.current.value;
        if (hdr->value!= NULL) {
            sds val = createStringObjectFromLongLong((long)hdr->value);
            hdr_iter_percentile_add(&iter,val,NULL);
            decrRefCount(val);
            sdsfree(val);
        }
    }
    hdr_iter_close(&iter);
    if (info) {
        sdsfree(info);
    }
    return reply;
}"
4,63BD3C16404EFF44,"void luaSetErrorMetatable(lua_State *lua) 
{
    lua_setmetatable(lua, luaError);
}","void luaSetErrorMetatable(lua_State *lua) 
{
    if (lua->mt == NULL) {
        lua->mt = &_lua_lib_metatable[1];
        lua->up = 2;
    }
}","void luaSetErrorMetatable(lua_State *lua) 
{
    int i;
    for (i=0; i<2; i++) {
        if (lua->metatable[i].ptr) {
            decrRefCount(lua->metatable[i].ptr);
            lua->metatable[i].ptr = NULL;
        }
    }
    /* Push a fake metatable for the error case, to make sure
     * that the error is propagated to the client. */
    lua->metatable[0] = luaCreateString(""__LUA__"",9);
    lua->metatable[1] = luaCreateString(""ERR"",5);
}","void luaSetErrorMetatable(lua_State *lua) 
{ 
    int i;
    for (i=0; i<2; i++) {
        if (lua->metatable[i].ptr) {
            decrRefCount(lua->metatable[i].ptr);
            lua->metatable[i].ptr = NULL;
        }
    }
    /* Push a fake metatable for the top of the stack. */
    lua->metatable[0] = createStringObject(""__LUA__"",9);
    lua->metatable[1] = createStringObject(""__CORE__"",9);
}","void luaSetErrorMetatable(lua_State *lua) 
{
	/* Push a fake metatable for errors to be handled correctly.
	 * We just need to make sure the error is put on the correct
	 * Lua stack position.
	 */
	pushGenericMetatable(lua, &shared.err);
}","void luaSetErrorMetatable(lua_State *lua) 
{
    if (lua_getmetatable(lua,1) == NULL) {
        /* We need a metatable, create it. */
        lua_setmetatable(lua,1);
    }
}","void luaSetErrorMetatable(lua_State *lua) 
{
	/* Push 2 elements to make sure that the error returned
	 * by luaSet*() is pushed to the right of the metatable. */
	lua_push(lua,shared.err);
	lua_push(lua,shared.curr_location);
}","void luaSetErrorMetatable(lua_State *lua) 
{
	unsigned char *mt = lua_metatable(lua);
	mt[0] = MT_Error;
	mt[1] = '\0';
	lua_setmetatable(lua, mt);
}","void luaSetErrorMetatable(lua_State *lua) 
{ 
    if (lua_getmetatable(lua,1) == NULL) {
        /* We need a metatable, create it. */
        lua_setmetatable(lua,1,&shared.metatable);
    }
}","void luaSetErrorMetatable(lua_State *lua) 
{
    int i;
    if (!lua->mt) return;
    for (i=0;i<2;i++) {
        if (lua->m[i]!=NULL) break;
    }
    if (i==2) {
        /* We have a metatable, raise an error. */
        lua_set_metatable(lua,lua->m);
    } else {
        /* We don't have a metatable, just return. */
        lua_set_metatable(lua,NULL);
    }
}"
5,91E59A8BE2E5834C,"sds luaGetStringSds(lua_State *lua, int index) 
{
    sds value = lua_tostring(lua, index);
    if (value == NULL) return NULL;
    return value;
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    unsigned char *vstr;
    size_t vlen;
    int64_t vll;

    vstr = luaGetStringObject(lua, &vlen, &vll);
    if (vstr) {
        return sdsnewlen(vstr, vlen);
    } else {
        return sdsfromlonglong(vll);
    }
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    if (index < 0 || index >= LuaScript_String_Len(lua)) return NULL;
    return LuaScript_String_Get(lua, index);
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    if (index < 0 || index >= LUA_MAX_STRING) return NULL;
    return lua_str_ptr(lua, index);
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    sds value = lua_tolstring(lua, index, ""sds"");
    if (value == NULL) return NULL;
    return value;
}","sds luaGetStringSds(lua_State *lua, int index) 
{ 
    if (index < 0 || index >= LuaScript_String_Len(lua)) return NULL;
    return LuaScript_String_Get(lua, index); 
}","sds luaGetStringSds(lua_State *lua, int index) 
{ 
    sds value = lua_tostring(lua, index);
    if (value == NULL) return NULL;
    return value;
}","sds luaGetStringSds(lua_State *lua, int index) 
{ 
    if (index < 0 || index >= LUA_MAX_STRING) return NULL;
    return lua_str_ptr(lua, index); 
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    size_t len = lua_strlen(lua, index);
    sds value = lua_tolstring(lua, index + len, &len);
    return value;
}","sds luaGetStringSds(lua_State *lua, int index) 
{
	if (index < 0 || index >= LUA_STRING_LEN) return NULL;
	return luaStringGetSds(lua->lstrings+index);
}"
6,C3CB2474A9CFDEB8,"static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    lua_createtable(lua,elev,elec);
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    for (int i = 0; i < elec; i++) {
        lua_push(lua, createObject(OBJ_STRING, sdsempty()));
        lua_set_array_element(lua, i, -1, (unsigned char*)sdslen(
            server.lazyfree_lazy_expire_disabled_keys[i]->ptr));
    }
    /* Push the final array */
    lua_push(lua, createStringObject(""]"",2));
    lua_set_array_length(lua, -1, 1);
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    /* Create the array if it does not already exist. */
    if (!elev[0]->ptr) {
        elev[0] = createStringObject("""",0);
        for (int i=1; i<elemc; i++) {
            char *sub = (char*)elev[i]->ptr;
            size_t len = sdslen(sub);
            elev[i] = createStringObject(sub,len);
        }
    }
    /* Push the elements. */
    int j;
    for (j = 0; j < elec; j++) {
        pushStringObject(lua,elev[j]);
    }
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
	lua_array *lua_am = lua_am_init(elev, elec, 1);
	lua_set_hook(lua, lua_am, NULL, NULL, NULL);
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
	int j;
	robj **array = zmalloc(sizeof(robj*)*elevlen);
	for (j = 0; j < elec; j++) {
		array[j] = createStringObject(elev[j],sdslen(elev[j]));
		incrRefCount(array[j]);
	}
	luaSetArray(lua, array, elec);
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    int j;

    lua_settop(lua, elec);
    for (j = 0; j < elec; j++) {
        if (elev[j].sval) {
            lua_push(lua,lev[j].sval);
        } else {
            lua_pushbulk(lua,lev[j].ptr);
        }
        if (j!= elec-1)
            lua_pop(lua,1);
    }
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    int j;
    for (j = 0; j < elec; j++) {
        luaPush(lua, createStringObject("""",0));
    }
    luaSetTotalBytes(lua, elec*2);
    luaSetNumElements(lua, elec);
    for (j = 0; j < elec; j++) {
        int i;
        luaPush(lua, createStringObject(elev[j]->ptr, sdslen(elev[j]->ptr)));
        for (i = 0; i < j; i++) {
            luaPush(lua, createStringObject("","",0));
        }
    }
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{ 
    for (int i = 0; i < elec; i++) {
        lua_push(lua, createStringObject("""",0));
        lua_set_array(lua, i+1, 2);
    }
    /* Push the final array (table) as a string object. */
    lua_push(lua, createStringObject("""",0));
    lua_set_array(lua, elec, 2);
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    for (int j = 0; j < elec; j++) {
        elev[j] = createStringObject(NULL,sdslen(elev[j]->ptr));
        luaSetArrayElement(lua, j,lev[j]);
    }
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{ 
    int j;

    lua_settop(lua, elec);
    for (j = 0; j < elec; j++) {
        if (elev[j].sval) {
            lua_push(lua,lev[j].sval);
        } else {
            lua_pushbulk(lua,lev[j].ptr);
        }
        if (j!= elec-1)
            lua_pop(lua,1);
    }
}"
7,BFD3412F5AA28A38,"void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)
{
	int i;
	int max_idx = 0;
	int min_idx = latency_histogram->length-1;
	int avg_idx = latency_histogram->length-1;
	int delta = (int64_t)duration_hist-(int64_t)min_idx;
	for (i = 0; i <= latency_histogram->length-1; i++) {
		if (delta > 0) {
			if (latency_histogram[i] > latency_histogram[i+1]) {
				max_idx = i;
			} else if (latency_histogram[i] < latency_histogram[i+1]) {
				min_idx = i;
			}
		} else {
			if (latency_histogram[i] < latency_histogram[i+1]) {
				max_idx = i;
			} else if (latency_histogram[i] > latency_histogram[i+1]) {
				min_idx = i;
			}
		}
	}
	hdr_histogram_update_value(latency_histogram, max_idx, avg_idx, delta);
}","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)
{
        /* We need to account for the different command implementations returning different latency
         * spikes. To do that we increment the number of samples we have in the histogram, and
         * subtract one from the previous value if the value was not already ""above"" the limit. */
        int64_t samples = duration_hist - (*latency_histogram)[0].samples;
        if (samples > 0) {
                (*latency_histogram)[0].samples += samples;
                (*latency_histogram)[0].highest_equivalent_value = max(samples, (*latency_histogram)[0].highest_equivalent_value);
        }
}","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)
{
    if (latency_histogram == NULL) return;
    int command_count = 0;
    for (int j = 0; j < latency_histogram->length; j++) {
        if (latency_histogram[j] > command_count) {
            command_count = latency_histogram[j];
        }
        command_count += latency_histogram[j] / 1000;
    }
    hdr_histogram_update_value(latency_histogram, command_count, duration_hist);
}","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)"
8,8C34082F9371FB54,"static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) ","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
    serverAssert(libname!= NULL);
    void *handle = loaded_libs_queue + libname_to_lib_map[libname];
    serverAssert(handle!= NULL);
    lua_set_lib_func(lua, handle, luafunc);
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
    /* Initialize libc, and set it as the standard C library function 
     * to call the Lua engine. */
    if (libc_init(NULL,0) == -1) {
        serverLog(LL_WARNING, ""Failed to initialize libc: %s"", strerror(errno));
        exit(1);
    }

    /* Load the library, setup the function pointer, and register the 
     * library name in the table. */
    void *handle = dlopen(libname,RTLD_NOW|RTLD_LOCAL);
    if (handle == NULL) {
        serverLog(LL_WARNING, ""Failed to load the Lua library: %s"", libname);
        exit(1);
    }
    void *func = luaL_getfunc(lua, NULL, 0, NULL);
    if (func == NULL) {
        dlclose(handle);
        serverLog(LL_WARNING, ""Failed to fetch the Lua script handler: %s"", libname);
        exit(1);
    }
    luaScript *script = zmalloc(sizeof(luaScript));
    script->handle = handle;
    script->func = func;
    script->name = sdsnew(libname);
    listAddNodeTail(server.lua_scripts, script);
    lua_set_hook(lua, func, NULL, NULL);
    if (luafunc) {
        /* Register the Lua API in the callback table. */
        int ret = dictAdd(server.lua_scripts_queue, (char*)libname, script);
        serverAssert(ret);
    }
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) ","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) ","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
	struct RedisModule *module = dictFetchValue(modules,libname);
	if (module == NULL) {
		serverLog(LL_WARNING, ""The library '%s' was not found in the server libpath"", libname);
		return;
	}
	RedisModule *myself = module->module;
	if (myself->init_fn == NULL) {
		serverLog(LL_WARNING, ""The library '%s' was not initialized"", libname);
		return;
	}
	void *handle;
	RedisModuleIO io;
	moduleInitIOContext(io,myself,&handle,libname);
	myself->init_fn(&io,handle);
	if (luafunc) {
		/* Call the user function. */
		void *result;
		RedisModuleCtx ctx;
		moduleCreateContext(&ctx,myself,REDISMODULE_CTX_TEMP_CLIENT);
		ctx.client = myself->client;
		result = luafunc(&io,(unsigned char*)libname,strlen(libname),&ctx,NULL);
		moduleFreeContext(&ctx);
		if (result) {
			serverLog(LL_VERBOSE, ""Module %s returned result from ""
								""function %s"", libname, result);
			/* We stored the result in the private data, now free it. */
			sdsfree(result);
		} else {
			serverLog(LL_WARNING, ""Module %s failed to load"", libname);
		}
	} else {
		/* Just log the event. */
		serverLog(LL_VERBOSE, ""Module %s loaded"", libname);
	}
	module->module->in_call++;
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) ","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) ","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
	void *handle;
	sds name = sdsnew(libname);

	handle = dlopen(name,RTLD_NOW|RTLD_LOCAL);
	if (handle == NULL) {
		char msg[1024];
		snprintf(msg,sizeof(msg),""Can't load module %s: %s"",libname, dlerror());
		panic(msg);
	}

	/* We set up a fake client for module APIs that just need to attach a
	 * fake client to the main thread. This fake client will be used to
	 * accumulate all the commands emitted by the Lua script. */
	moduleAttachToServer(lua, handle, NULL);

	/* Now that we have a valid handle, we can create the library event
	 * subscribers list, and attach them to the Lua script client. */
	listAddNodeTail(lua->subscribers, createSubscriber(NULL,SUBEVENT_MODULE,libname,NULL));
	listAddNodeTail(lua->subscribers, createSubscriber(NULL,SUBEVENT_MODULE_EVENTLOOP,NULL,NULL));

	/* Now that we have a valid Lua state, we can create the module event
	 * callbacks. */
	lua->callbacks = zcalloc(sizeof(luaCallbacks));
	lua->pending_calls = zcalloc(sizeof(pendingCall));
	listAddNodeTail(lua->events, createEventLoopJob(luafunc,0));
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) "
9,49B52B607F6CE286,"void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
    /* Save the 'lua' value */
    if (luaSaveValue(lua,name,ptr,LUA_SAVE_NONE,NULL,NULL) == C_ERR)
        return;

    /* Add the 'lua' value to the Lua global state */
    luaAddPostNotification(lua,name,ptr);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
    RedisModuleIO io;
    moduleCreateIOContext(io,lua,name,ptr,REGISTER_IO_TYPE_LUA);
    moduleRegisterIO(io);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
    if (lua == NULL) return;
    int len = strlen(name) + 1;
    char *data = zmalloc(len);
    memcpy(data, name, len);
    data[len] = '\0';
    lua_push_string(lua, data);
    lua_set_private_data(lua, (unsigned char*)data, len);
    if (ptr) {
        lua_push_function(lua, (unsigned char*)ptr);
        lua_set_private_data(lua, (unsigned char*)ptr, len);
    }
    zfree(data);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{ 
    RedisModuleIO io;
    moduleCreateIOContext(io,lua->io,name,ptr,REGISTER_IO_TYPE_LUA);
    lua->io->fn = lua_save;
    lua->io->userdata = lua;
    if (redis_rioWrite(&io, ""\r\n"", 2) == 0) goto werr;
    if (redis_rioWrite(&io, ""*3\r\n"", 5) == 0) goto werr;
    if (redis_rioWrite(&io, ""REGISTER\r\n"", 10) == 0) goto werr;
    if (redis_rioWriteBulkString(&io,""NAME"",4) == 0) goto werr;
    if (redis_rioWriteBulkString(&io,name,strlen(name)) == 0) goto werr;
    if (redis_rioWriteBulkString(&io,(char*)ptr,sdslen(ptr)) == 0) goto werr;
    if (redis_rioWriteBulkString(&io,""\r\n"",2) == 0) goto werr;
    io.bytes += (long long)sdslen(io.buffer) + 2;
    return;

werr:
    io.error = 1;
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{ 
    if (lua!= NULL) {
        lua_SaveValue(lua, name, ptr, LUA_SLOT_UNKNOWN, NULL);
    } else {
        serverPanic(""Unknown lua save implementation"");
    }
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
    if (lua!= NULL) {
        lua_SaveValue(lua, name, ptr, LUA_REGISTRY_SAVE);
    } else {
        serverLog(LL_WARNING, ""Lua was not called with a valid Lua context!"");
    }
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) ","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) ","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) ","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) "
