,0,1,2,3,4,5,6,7,8,9,10
0,8DB27DCC9D8540B9,"redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
	redisContext *context = redisConnectWithTimeout(ip, port, tv);
	if (context == NULL) {
		return NULL;
	}
	return context;
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
    return redisConnectWithTimeout(ip, port, tv);
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{ 
	redisContext *context = redisConnectWithTimeout(ip, port, tv);
	if (context == NULL) {
		return NULL;
	}
	return context;
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
	if (redisConnectWithTimeout(ip, port, tv) == REDIS_OK)
		return (redisContext *)redisContextFromRedis(ip, port);
	else
		return NULL;
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{ 
    return redisConnect(ip, port, tv); 
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
  redisContext *redisContext = redisConnectWithTimeout(ip, port, tv);
  if(redisContext == NULL) {
    return NULL;
  }
  return redisContext;
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{

    struct redisContext *redisContext;
    redisContext = redisConnectWithTimeout(ip, port, tv);
    if (redisContext == NULL) {
        return NULL;
    }
    return redisContext;
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{ 
  if (redisConnectWithTimeout(ip, port, tv) == REDIS_OK) 
    return (redisContext *)redisContext; 
  else 
    return NULL; 
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{	
	redisContext *c;
	c = redisConnectWithTimeout(ip, port, tv);
	return c;
}","redisContext *redisConnectWrapper(const char *ip, int port, const struct timeval tv) 
{
	int ret;
	struct redisContext *context;
	struct timeval timeout;

	context = redisConnectWithTimeout(ip, port, tv);

	if (context == NULL) {
		return NULL;
	}

	ret = context->setTimeout(tv);

	if (ret!= REDIS_OK) {
		redisFreeContext(context);
		return NULL;
	}

	return context;
}"
1,9E709D637B4875DE,"static int dictCheckRehashingCompleted(dict *d) 
{
    if (d->rehashing_completed)
        return 1;
    else
        return 0;
}",static int dictCheckRehashingCompleted(dict *d) ,static int dictCheckRehashingCompleted(dict *d) ,static int dictCheckRehashingCompleted(dict *d) ,"static int dictCheckRehashingCompleted(dict *d) 
{
    return d->rehashing_completed;
}",static int dictCheckRehashingCompleted(dict *d) ,static int dictCheckRehashingCompleted(dict *d) ,"static int dictCheckRehashingCompleted(dict *d) 
{	
	if (d->rehashing_done == 0) {
		return 0;
	}
	else {
		return 1;
	}
}","static int dictCheckRehashingCompleted(dict *d) 
{ 
    dictIterator *di;
    dictEntry *de;
    int ret = 0;

    if (d->rehashing_done)
        return 0;

    if (d->rehashing_done) {
        ret = 1;
        goto out;
    }

    di = dictGetIterator(d);
    while((de = dictNext(di))!= NULL) {
        ret = dictCheckRehashingCompleted(de->value);
        if (ret)
            break;
    }
    dictReleaseIterator(di);
out:
    return ret;
}","static int dictCheckRehashingCompleted(dict *d) 
{

	if(d->rehashing_done) return 1;

	if(d->rehashing_done) return 0;

	if(d->rehashing_done_start) return 0;

	if(d->rehashing_done_start == 0)
	{
		d->rehashing_done_start = 1;
		d->rehashing_done = 1;
		return 1;
	}

	if(d->rehashing_done_start == 1)
	{
		d->rehashing_done_start = 0;
		d->rehashing_done = 1;
		return 1;
	}

	return 0;
}"
2,B7AED9E236EBEC25,"size_t rioWriteBulkDouble(rio *r, double d) ","size_t rioWriteBulkDouble(rio *r, double d) ","size_t rioWriteBulkDouble(rio *r, double d) ","size_t rioWriteBulkDouble(rio *r, double d) 
{ 
	char buf[1024];
	size_t n;
	
	n = snprintf(buf, sizeof(buf), ""$<%f>\r\n"", d);
	if (n >= sizeof(buf))
		return 0;
	return rioWrite(r, buf, n);
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
  char buf[1024];
  size_t n;
  
  n = snprintf(buf, sizeof(buf), ""$<%f>\r\n"", d);
  if (n >= sizeof(buf))
    return 0;
  
  n = rioWrite(r, buf, n);
  if (n < 0)
    return 0;
  
  return n;
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
	int i;
	char buf[1024];
	size_t n;

	n = snprintf(buf, sizeof(buf), ""$<%f>\r\n"", d);
	if (n >= sizeof(buf))
		return 0;
	for (i = 0; i < n; i++) {
		if (r->write(r, buf, 1)!= 1)
			return 0;
	}
	return 1;
}","size_t rioWriteBulkDouble(rio *r, double d) 
{
  char buffer[4096];
  int i;
  size_t written = 0;
  
  for (i = 0; i < sizeof(buffer) - 1; i++) 
  {
    buffer[i] = (char)(d % 256);
    d /= 256;
  }
  buffer[i] = '\0';
  
  written = rioWrite(r, buffer, i);
  return written;
}","size_t rioWriteBulkDouble(rio *r, double d) 
{  
    char buffer[4096];
    size_t n = rioWrite(r, buffer, sizeof(buffer));
    if (n > 0) {
        buffer[n] = '\0';
        return rioWrite(r, buffer, n);
    } else {
        return 0;
    }
}","size_t rioWriteBulkDouble(rio *r, double d) 
{	size_t n = rioWrite(r, """", 1);
	if (n < 1) return n;
	char buf[32];
	sprintf(buf, ""%f"", d);
	size_t n2 = rioWrite(r, buf, strlen(buf));
	if (n2 < 1) return n2;
	return n + n2;
}","size_t rioWriteBulkDouble(rio *r, double d) 
{

    if (r->state == RIO_STATE_ERROR) return 0;

    char buf[1024];
    int i=0;
    int count=0;
    int n=0;

    if (d < 0) {
        n = (int)floor(d);
        d = d - n;
    }

    while (d > 0) {
        if (i >= sizeof(buf)) {
            if (n > sizeof(buf)) {
                n = sizeof(buf);
            }
            else {
                n = (int)sizeof(buf);
            }
        }

        buf[i] = (char)d;
        i++;
        d--;
    }

    if (i > 0) {
        buf[i] = '\0';
        n = i;
    }

    if (n > 0) {
        if (r->writeBulk(r->buf, n)!= n) {
            return 0;
        }

        r->buf[n] = '\0';
    }

    return n;
}"
3,917B2B41B044128F,"sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) ","sds fillPercentileDistributionLatencies(sds info, const char* histogram_name, struct hdr_histogram* histogram) "
4,63BD3C16404EFF44,"void luaSetErrorMetatable(lua_State *lua) 
{
	lua_pushvalue(lua, -2);
	lua_setmetatable(lua, -2);
}","void luaSetErrorMetatable(lua_State *lua) 
{
    lua_pushlightuserdata(lua, &lua_error);
    lua_rawset(lua, LUA_REGISTRYINDEX);
}","void luaSetErrorMetatable(lua_State *lua) 
{ 
	lua_pushvalue(lua, -2);
	lua_setmetatable(lua, -2);
}","void luaSetErrorMetatable(lua_State *lua) 
{
  int i;
  for (i = 0; i < 2; i++) {
    lua_pushvalue(lua, -2);
    lua_rawseti(lua, -2, i+1);
  }
}","void luaSetErrorMetatable(lua_State *lua) 
{
	if (lua_gettop(lua) < 2)
		luaL_error(lua, ""not enough arguments"");
	lua_pushmetatable(lua);
	lua_pushvalue(lua, 1);
	lua_setmetatable(lua, 2);
}","void luaSetErrorMetatable(lua_State *lua) 
{ 
  if (lua_gettop(lua) < 2) 
  { 
    lua_pushnil(lua); 
    lua_pushliteral(lua, ""no error""); 
    lua_settable(lua, -3); 
  } 
  else 
  { 
    lua_pushnil(lua); 
    lua_pushliteral(lua, ""error""); 
    lua_settable(lua, -3); 
  } 
}",void luaSetErrorMetatable(lua_State *lua) ,"void luaSetErrorMetatable(lua_State *lua) 
{	lua_pushliteral(lua, ""__error"");
	lua_pushliteral(lua, ""__metatable"");
	lua_rawset(lua, -3);
}","void luaSetErrorMetatable(lua_State *lua) 
{ 
    lua_pushlightuserdata(lua, &lua_error);
    lua_rawset(lua, LUA_REGISTRYINDEX);
}","void luaSetErrorMetatable(lua_State *lua) 
{  /* push a metatable for the error */
	lua_pushmetatable(lua, lua_gettop(lua));  /* push a metatable for the error */
}"
5,91E59A8BE2E5834C,"sds luaGetStringSds(lua_State *lua, int index) 
{
	char *s;
	s = lua_tostring(lua, index);
	if (s == NULL)
		return NULL;
	return sdsnewlen(s, strlen(s));
}","sds luaGetStringSds(lua_State *lua, int index) 
{
  if (lua_isstring(lua, index))
    return (sds)lua_tostring(lua, index);
  else
    return NULL;
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    return lua_tosdsds(lua,index,NULL);
}","sds luaGetStringSds(lua_State *lua, int index) 
{
	return lua_tostring(lua, index);
}","sds luaGetStringSds(lua_State *lua, int index) 
{ 
	return lua_tostring(lua, index); 
}","sds luaGetStringSds(lua_State *lua, int index) 
{
    sds s = NULL;
    if (lua_isstring(lua, index)) {
        s = lua_tolstring(lua, index, NULL);
    }
    return s;
}","sds luaGetStringSds(lua_State *lua, int index) 
{
	const char *s = lua_tostring(lua, index);
	if (s == NULL)
		return NULL;
	return sdsnewlen(s, strlen(s));
}","sds luaGetStringSds(lua_State *lua, int index) 
{ 
  if (lua_isstring(lua, index)) 
    return (sds)lua_tostring(lua, index); 
  else 
    return NULL; 
}","sds luaGetStringSds(lua_State *lua, int index) 
{

  if (index < 0) {
    return NULL;
  }

  return lua_tostring(lua, index);
}","sds luaGetStringSds(lua_State *lua, int index) 
{ 
	char *s;
	s = lua_tostring(lua, index);
	if (s == NULL) return NULL;
	return sdsnewlen(s, strlen(s)); 
}"
6,C3CB2474A9CFDEB8,"static void luaCreateArray(lua_State *lua, robj **elev, int elec) ","static void luaCreateArray(lua_State *lua, robj **elev, int elec) ","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
	int i;
	lua_newtable(lua);
	for (i = 0; i < elec; i++) {
		lua_pushstring(lua, e[i].ptr);
		lua_rawseti(lua, -2, i+1);
	}
	lua_setglobal(lua, ""elev"");
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{ 
    lua_newtable(lua);
    for (int i = 0; i < elec; i++) {
        lua_pushstring(lua, e[i].ptr);
        lua_rawseti(lua, -2, i+1);
    }
    lua_setglobal(lua, ""elev"");
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
    if (elev) {
        lua_newtable(lua);
        for (int i = 0; i < elec; i++) {
            lua_pushstring(lua, e[i].ptr);
            lua_rawseti(lua, -2, i+1);
        }
    }
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{

  /* Create a new Lua table with the given array of elements. */
  lua_createtable(lua, elec, 0);

  /* Add the elements to the table. */
  for (int i = 0; i < elec; i++) {
    lua_pushstring(lua, e[i].ptr);
    lua_rawseti(lua, -2, i+1);
  }

  /* Add the table to the global table. */
  lua_setglobal(lua, ""__array"");
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{	/* Create an array of Redis String Objects. */
	int i;
	lua_createtable(lua, elec, 0);
	for (i = 0; i < elec; i++) {
		if (elev[i] == NULL) {
			elev[i] = new redisString(lua, NULL);
		} else {
			elev[i] = new redisString(lua, (char*)elev[i]);
		}
	}
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{ 
  int i;
  lua_newtable(lua);
  for (i = 0; i < elec; i++) {
    lua_pushstring(lua, e[i].ptr);
    lua_rawseti(lua, -2, i+1);
  }
  lua_setfield(lua, -2, ""elev"");
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{
	lua_createtable(lua, elec, 0);
	for (int i = 0; i < elec; i++) {
		lua_pushstring(lua, ekey[i].ptr);
		lua_rawseti(lua, -2, i+1);
	}
}","static void luaCreateArray(lua_State *lua, robj **elev, int elec) 
{ 
	int i, j;
	int n = 0;

	lua_newtable(lua);
	for (i = 0; i < elec; i++) {
		lua_pushstring(lua, e[i].ptr);
		lua_rawseti(lua, -2, n++);
	}

	for (i = 0; i < elec; i++) {
		lua_pushstring(lua, e[i].ptr);
		lua_rawseti(lua, -2, n++);
	}

	lua_setfield(lua, -2, ""elev"");
	lua_setmetatable(lua, -2);
}"
7,BFD3412F5AA28A38,"void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)
{

  //if (duration_hist > 0) {
  //  *latency_histogram = (struct hdr_histogram *)malloc(sizeof(struct hdr_histogram));
  //  memset(*latency_histogram, 0, sizeof(struct hdr_histogram));
  //  *latency_histogram->duration = duration_hist;
  //  *latency_histogram->max = *latency_histogram->duration;
  //  *latency_histogram->min = *latency_histogram->duration;
  //  *latency_histogram->count = 0;
  //}
}","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)
{
	struct hdr_histogram *histogram = *latency_histogram;
	int64_t *histogram_end = histogram + HISTOGRAM_SIZE;
	int64_t *histogram_start = histogram + 1;
	int64_t *histogram_end_p = histogram + HISTOGRAM_SIZE;

	if (histogram == NULL) {
		return;
	}

	while (histogram < histogram_end) {
		if (histogram->duration > duration_hist) {
			break;
		}

		histogram++;
	}

	while (histogram < histogram_end_p) {
		if (histogram->duration < duration_hist) {
			break;
		}

		histogram++;
	}

	if (histogram < histogram_end) {
		*histogram = *histogram_end;
	}
}","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)
{
   *latency_histogram = (struct hdr_histogram *)malloc(sizeof(struct hdr_histogram));
   if (*latency_histogram == NULL)
   {
      return;
   }

   (*latency_histogram)->duration = duration_hist;
   (*latency_histogram)->max = (*latency_histogram)->duration;
   (*latency_histogram)->min = (*latency_histogram)->duration;

   (*latency_histogram)->size = sizeof(struct hdr_histogram);
}","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)","void updateCommandLatencyHistogram(struct hdr_histogram **latency_histogram, int64_t duration_hist)"
8,8C34082F9371FB54,"static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
	lua_pushstring(lua, libname);
	lua_pushcfunction(lua, luafunc);
	lua_settable(lua, LUA_REGISTRYINDEX);
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) ","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
  if (lua_isnoneornil(lua, -1)) {
    lua_pushstring(lua, libname);
    lua_pushcfunction(lua, luafunc);
    lua_settable(lua, -3);
  }
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
    luaL_loadbuffer(lua, libname, strlen(libname), ""=lib"");
    lua_pushcfunction(lua, luafunc);
    lua_setfield(lua, -2, ""__call"");
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{ 
	luaL_loadbuffer(lua, libname, strlen(libname), libname); 
	lua_pushcfunction(lua, luafunc); 
	lua_setfield(lua, -2, ""__call""); 
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{ 
  if (lua_isnoneornil(lua, -1)) {
    lua_pushstring(lua, libname);
    lua_pushcfunction(lua, luafunc);
    return;
  }
  lua_pushstring(lua, libname);
  lua_pushcfunction(lua, luafunc);
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{
  const char *path;
  int i;

  path = luaL_checkstring(lua, 1);

  if (path[0] == '@') {
    path++;
  }

  for (i = 0; i < MAX_LIBRARY_PATH; i++) {
    if (path[i] == '\0') {
      break;
    }
  }

  if (i == MAX_LIBRARY_PATH) {
    return;
  }

  if (luaL_loadfile(lua, path)!= 0) {
    return;
  }

  lua_pushcfunction(lua, luafunc);

  if (luaL_loadbuffer(lua, """", 0, 0)!= 0) {
    return;
  }

  lua_settop(lua, 0);
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{ 
    lua_pushcfunction(lua, luafunc);
    lua_setglobal(lua, libname);
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{	
	int i;
	
	/* load library */
	if (luaL_loadbuffer(lua, libname, strlen(libname), ""=lib"") == 0) {
		/* check if library is already loaded */
		for (i = 0; i < lua_gettop(lua); i++) {
			if (lua_type(lua, i) == LUA_LOADLIB) {
				if (strcmp(lua_tostring(lua, i), libname) == 0) {
					/* library already loaded */
					return;
				}
			}
		}
		/* add library to library list */
		lua_pushvalue(lua, -2);
		lua_rawset(lua, LUA_REGISTRYINDEX);
		lua_pop(lua, 1);
	}
	/* add function to library list */
	lua_pushcfunction(lua, luafunc);
	lua_rawset(lua, LUA_REGISTRYINDEX);
	lua_pop(lua, 1);
}","static void luaLoadLib(lua_State *lua, const char *libname, lua_CFunction luafunc) 
{

   /* load library */
   if (luaL_loadbuffer(lua, libname, strlen(libname), ""=lib"") == LUA_OK) 
   {
      /* register function */
      lua_pushvalue(lua, -2);
      lua_pushcclosure(lua, luafunc, 1);
      lua_rawset(lua, -3);

      /* return library */
      return;
   }
   else 
   {
      /* error */
      lua_pushstring(lua, ""cannot load library"");
      lua_error(lua);
   }
}"
9,49B52B607F6CE286,"void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
	lua_pushlightuserdata(lua, ptr);
	lua_rawseti(lua, -2, name);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
    if (lua_gettop(lua) == 0) {
        lua_pushstring(lua, name);
        lua_rawset(lua, -3);
    }
    else {
        lua_pushstring(lua, name);
        lua_rawset(lua, -3);
        lua_pushvalue(lua, -2);
        lua_rawset(lua, -3);
    }
    lua_pushlightuserdata(lua, ptr);
    lua_rawset(lua, -3);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
	lua_pushstring(lua, name);
	lua_rawset(lua, -3);
	lua_pushlightuserdata(lua, ptr);
	lua_rawset(lua, -3);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{ 
	lua_pushlightuserdata(lua, ptr);
	lua_rawseti(lua, -2, name);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{ 
    if (lua_gettop(lua) == 0) {
        lua_pushstring(lua, name);
        lua_pushlightuserdata(lua, ptr);
        lua_settable(lua, LUA_REGISTRYINDEX);
    }
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
  if(lua == NULL) return;
  lua_pushlightuserdata(lua, ptr);
  lua_rawseti(lua, -2, name);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{
    // Save the given pointer on the Lua registry.
    lua_pushlightuserdata(lua, ptr);
    lua_rawseti(lua, LUA_REGISTRYINDEX, (int)name);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{	
	lua_pushstring(lua, name);
	lua_rawseti(lua, -3, (int)ptr);
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) 
{ 
  if(lua == NULL) return; 

  if(lua_gettop(lua) == 0) 
  { 
    lua_pushstring(lua, name); 
    lua_pushlightuserdata(lua, ptr); 
    lua_settable(lua, LUA_REGISTRYINDEX); 
  } 
  else 
  { 
    lua_pushnil(lua); 
    lua_setfield(lua, -2, name); 
  } 
}","void luaSaveOnRegistry(lua_State* lua, const char* name, void* ptr) "
